log_id,poll_timestamp,route_id,trip_id,stop_id,schedule_status,delay_seconds
1,2026-03-11 03:39:00,3M,307303:416016:417245,ALL_STOPS,CANCELED,0
2,2026-03-11 03:39:00,1,307010:414492:417199,1005,SCHEDULED,13
3,2026-03-11 03:39:00,1,307010:414492:417199,1007,SCHEDULED,13
4,2026-03-11 03:39:00,1,307010:414492:417199,1008,SCHEDULED,13
5,2026-03-11 03:39:00,1,307010:414492:417199,1009,SCHEDULED,13
6,2026-03-11 03:39:00,1,307010:414492:417199,1010,SCHEDULED,13
7,2026-03-11 03:39:00,1,307010:414492:417199,1011,SCHEDULED,13
8,2026-03-11 03:39:00,1,307010:414492:417199,1012,SCHEDULED,13
9,2026-03-11 03:39:00,1,307010:414492:417199,1013,SCHEDULED,13
10,2026-03-11 03:39:00,1,307010:414492:417199,1014,SCHEDULED,13
11,2026-03-11 03:39:00,1,307010:414492:417199,1015,SCHEDULED,13
12,2026-03-11 03:39:00,1,307010:414492:417199,1831,SCHEDULED,13
13,2026-03-11 03:39:00,1,307010:414492:417199,1828,SCHEDULED,13
14,2026-03-11 03:39:00,1,307010:414492:417199,1019,SCHEDULED,13
15,2026-03-11 03:39:00,1,307050:415733:417187,1121,SCHEDULED,0
16,2026-03-11 03:39:00,1,307050:415733:417187,1189,SCHEDULED,37
17,2026-03-11 03:39:00,1,307050:415733:417187,1190,SCHEDULED,62
18,2026-03-11 03:39:00,1,307050:415733:417187,1191,SCHEDULED,62
19,2026-03-11 03:39:00,1,307050:415733:417187,1192,SCHEDULED,62
20,2026-03-11 03:39:00,1,307050:415733:417187,1193,SCHEDULED,62
21,2026-03-11 03:39:00,1,307050:415733:417187,1194,SCHEDULED,62
22,2026-03-11 03:39:00,1,307050:415733:417187,1195,SCHEDULED,62
23,2026-03-11 03:39:00,1,307050:415733:417187,1196,SCHEDULED,62
24,2026-03-11 03:39:00,1,307050:415733:417187,1197,SCHEDULED,62
25,2026-03-11 03:39:00,1,307050:415733:417187,1198,SCHEDULED,62
26,2026-03-11 03:39:00,1,307050:415733:417187,1200,SCHEDULED,62
27,2026-03-11 03:39:00,1,307050:415733:417187,1201,SCHEDULED,62
28,2026-03-11 03:39:00,1,307050:415733:417187,1000,SCHEDULED,62
29,2026-03-11 03:39:00,1,307050:415733:417187,1002,SCHEDULED,62
30,2026-03-11 03:39:00,1,307050:415733:417187,1003,SCHEDULED,62
31,2026-03-11 03:39:00,1,307050:415733:417187,1004,SCHEDULED,62
32,2026-03-11 03:39:00,1,307050:415733:417187,1005,SCHEDULED,62
33,2026-03-11 03:39:00,1,307050:415733:417187,1007,SCHEDULED,62
34,2026-03-11 03:39:00,1,307050:415733:417187,1008,SCHEDULED,62
35,2026-03-11 03:39:00,1,307050:415733:417187,1009,SCHEDULED,62
36,2026-03-11 03:39:00,1,307050:415733:417187,1010,SCHEDULED,62
37,2026-03-11 03:39:00,1,307050:415733:417187,1011,SCHEDULED,62
38,2026-03-11 03:39:00,1,307050:415733:417187,1012,SCHEDULED,62
39,2026-03-11 03:39:00,1,307050:415733:417187,1013,SCHEDULED,62
40,2026-03-11 03:39:00,1,307050:415733:417187,1014,SCHEDULED,62
41,2026-03-11 03:39:00,1,307050:415733:417187,1015,SCHEDULED,62
42,2026-03-11 03:39:00,1,307050:415733:417187,1831,SCHEDULED,62
43,2026-03-11 03:39:00,1,307050:415733:417187,1828,SCHEDULED,62
44,2026-03-11 03:39:00,1,307050:415733:417187,1019,SCHEDULED,62
45,2026-03-11 03:39:00,17,306508:416991:417187,1150,SCHEDULED,0
46,2026-03-11 03:39:00,17,306508:416991:417187,1152,SCHEDULED,0
47,2026-03-11 03:39:00,17,306508:416991:417187,1153,SCHEDULED,0
48,2026-03-11 03:39:00,17,306508:416991:417187,1154,SCHEDULED,0
49,2026-03-11 03:39:00,17,306508:416991:417187,1155,SCHEDULED,0
50,2026-03-11 03:39:00,17,306508:416991:417187,1157,SCHEDULED,0
51,2026-03-11 03:39:00,17,306508:416991:417187,1158,SCHEDULED,0
52,2026-03-11 03:39:00,17,306508:416991:417187,1159,SCHEDULED,0
53,2026-03-11 03:39:00,17,306508:416991:417187,1160,SCHEDULED,0
54,2026-03-11 03:39:00,17,306508:416991:417187,1161,SCHEDULED,0
55,2026-03-11 03:39:00,17,306508:416991:417187,1162,SCHEDULED,0
56,2026-03-11 03:39:00,17,306508:416991:417187,1163,SCHEDULED,0
57,2026-03-11 03:39:00,17,306508:416991:417187,1165,SCHEDULED,0
58,2026-03-11 03:39:00,17,306508:416991:417187,1166,SCHEDULED,0
59,2026-03-11 03:39:00,17,306508:416991:417187,1167,SCHEDULED,0
60,2026-03-11 03:39:00,17,306508:416991:417187,1168,SCHEDULED,0
61,2026-03-11 03:39:00,17,306508:416991:417187,1169,SCHEDULED,0
62,2026-03-11 03:39:00,17,306508:416991:417187,1170,SCHEDULED,0
63,2026-03-11 03:39:00,17,306508:416991:417187,1171,SCHEDULED,0
64,2026-03-11 03:39:00,17,306508:416991:417187,1172,SCHEDULED,0
65,2026-03-11 03:39:00,17,306508:416991:417187,1173,SCHEDULED,0
66,2026-03-11 03:39:00,17,306508:416991:417187,1174,SCHEDULED,0
67,2026-03-11 03:39:00,17,306508:416991:417187,1863,SCHEDULED,0
68,2026-03-11 03:39:00,17,306508:416991:417187,1128,SCHEDULED,0
69,2026-03-11 03:39:00,17,306508:416991:417187,1130,SCHEDULED,0
70,2026-03-11 03:39:00,17,306508:416991:417187,1131,SCHEDULED,0
71,2026-03-11 03:39:00,17,306508:416991:417187,1132,SCHEDULED,0
72,2026-03-11 03:39:00,17,306508:416991:417187,1133,SCHEDULED,0
73,2026-03-11 03:39:00,17,306508:416991:417187,1345,SCHEDULED,0
74,2026-03-11 03:39:00,17,306508:416991:417187,1180,SCHEDULED,0
75,2026-03-11 03:39:00,17,306508:416991:417187,1181,SCHEDULED,0
76,2026-03-11 03:39:00,17,306508:416991:417187,1182,SCHEDULED,0
77,2026-03-11 03:39:00,17,306508:416991:417187,1183,SCHEDULED,0
78,2026-03-11 03:39:00,17,306508:416991:417187,1184,SCHEDULED,0
79,2026-03-11 03:39:00,17,306508:416991:417187,1185,SCHEDULED,0
80,2026-03-11 03:39:00,17,306508:416991:417187,1186,SCHEDULED,0
81,2026-03-11 03:39:00,17,306508:416991:417187,1187,SCHEDULED,0
82,2026-03-11 03:39:00,17,306508:416991:417187,1121,SCHEDULED,0
83,2026-03-11 03:39:00,18,306441:415008:417215,1577,SCHEDULED,44
84,2026-03-11 03:39:00,18,306441:415008:417215,1019,SCHEDULED,52
85,2026-03-11 03:39:00,17,306507:414417:417187,1139,SCHEDULED,-77
86,2026-03-11 03:39:00,17,306507:414417:417187,1140,SCHEDULED,-77
87,2026-03-11 03:39:00,17,306507:414417:417187,1141,SCHEDULED,-77
88,2026-03-11 03:39:00,17,306507:414417:417187,1142,SCHEDULED,-77
89,2026-03-11 03:39:00,17,306507:414417:417187,1143,SCHEDULED,-77
90,2026-03-11 03:39:00,17,306507:414417:417187,1144,SCHEDULED,-77
91,2026-03-11 03:39:00,17,306507:414417:417187,1146,SCHEDULED,-77
92,2026-03-11 03:39:00,17,306507:414417:417187,1147,SCHEDULED,-77
93,2026-03-11 03:39:00,17,306507:414417:417187,1148,SCHEDULED,-77
94,2026-03-11 03:39:00,17,306507:414417:417187,1150,SCHEDULED,-77
95,2026-03-11 03:39:00,2,307433:416032:417237,1231,SCHEDULED,0
96,2026-03-11 03:39:00,2,307433:416032:417237,1288,SCHEDULED,0
97,2026-03-11 03:39:00,2,307433:416032:417237,1823,SCHEDULED,0
98,2026-03-11 03:39:00,2,307433:416032:417237,1824,SCHEDULED,0
99,2026-03-11 03:39:00,2,307433:416032:417237,1290,SCHEDULED,0
100,2026-03-11 03:39:00,2,307433:416032:417237,1291,SCHEDULED,0
